"profile","Park","shoreline_profile","WCEHA","mean_reach_change_rate","reach_delineation","zone_name","zone_description"
"16","Westport Light North, Grayland Plains","Non Significant Accretion","Erosion",0.837724399343938,"B3","Westport North Dynamic Zone"," Highly built environment, frequently nourished by the Army Corps of Engineers and influenced by sediment input and the Westport Jetty"
"17","Westport Light South, Grayland Plains","Non Significant Accretion","Erosion",1.43027029101514,"B4","Westport South Dynamic Zone"," Another dynamic environment, marked by shoreline development influencing wave action and sediment transport"
"18","Westport Ocean Ave OBA, Grayland Plains","Non Significant Accretion","Accreted",1.43027029101514,"B4","Westport South Dynamic Zone"," Another dynamic environment, marked by shoreline development influencing wave action and sediment transport"
"19","Bonge Ave OBA, Grayland Plains","Significant Accretion","Accreted",1.43027029101514,"B4","Westport South Dynamic Zone"," Another dynamic environment, marked by shoreline development influencing wave action and sediment transport"
"20","Marine Drive OBA, Grayland Plains","Significant Accretion","Accreted",1.77927051179059,"C","South Beach Transition Zone"," Breakpoint between Westport and the highly dynamic zone at the entrance to Willapa Bay"
"21","Cranberry Beach Road OBA, Grayland Plains","Significant Accretion","Accreted",5.17955091521412,"D1","Washaway Beach Dynamic Zone"," Highly dynamic, highly volatile and uncertain area of rapid erosion at the south end of the entrance to Willapa Bay accompanied by rapid accretion to the north"
"22","Midway Beach Rd OBA, Grayland Plains","Significant Accretion","Accreted",5.17955091521412,"D1","Washaway Beach Dynamic Zone"," Highly dynamic, highly volatile and uncertain area of rapid erosion at the south end of the entrance to Willapa Bay accompanied by rapid accretion to the north"
"23","Warrenton Cannery Rd OBA, Grayland Plains","Non Significant Accretion","Accreted",5.17955091521412,"D1","Washaway Beach Dynamic Zone"," Highly dynamic, highly volatile and uncertain area of rapid erosion at the south end of the entrance to Willapa Bay accompanied by rapid accretion to the north"
"24","North Cove, Grayland Plains","Non Significant Erosion","Erosion",5.17955091521412,"D1","Washaway Beach Dynamic Zone"," Highly dynamic, highly volatile and uncertain area of rapid erosion at the south end of the entrance to Willapa Bay accompanied by rapid accretion to the north"
"25","Leadbetter Point North, Long Beach","Significant Accretion","Accreted",4.7506997213257,"D2","Leadbetter Accretion Zone"," Strong rates of accretion and buildout of beaches"
"26","Leadbetter Point South, Long Beach","Significant Accretion","Erosion",4.7506997213257,"D2","Leadbetter Accretion Zone"," Strong rates of accretion and buildout of beaches"
"27","Leadbetter Point Bearberry Trail, Long Beach","Non Significant Accretion","Accreted",1.29246707823099,"E","Long Beach North Accretion Zone"," Characterized by moderate, stable accretion"
"28","Leadbetter Point Hines, Long Beach","Non Significant Accretion","Accreted",1.29246707823099,"E","Long Beach North Accretion Zone"," Characterized by moderate, stable accretion"
"29","Leadbetter Point 357th Pl, Long Beach","Non Significant Accretion","Accreted",1.29246707823099,"E","Long Beach North Accretion Zone"," Characterized by moderate, stable accretion"
"30","Oysterville Rd OBA, Long Beach","Non Significant Accretion","Accreted",1.29246707823099,"E","Long Beach North Accretion Zone"," Characterized by moderate, stable accretion"
"31","Oysterville Beach 311th St, Long Beach","Significant Accretion","Accreted",1.29246707823099,"E","Long Beach North Accretion Zone"," Characterized by moderate, stable accretion"
"32","Oysterville Beach 295th St, Long Beach","Significant Accretion","Accreted",1.99379042314888,"F","Long Beach Mid Accretion Zone"," Small zone of increased accretion"
"33","Pacific Pines, Long Beach","Significant Accretion","Accreted",1.99379042314888,"F","Long Beach Mid Accretion Zone"," Small zone of increased accretion"
"34","Klipsan Beach, Long Beach","Significant Accretion","Accreted",1.09006111554423,"G","Long Beach OBA Influence Zone"," Another small subreach of decreased rates of accretion, potentially influenced by the presence of a heavily used OBA near a suburb of Klipsan beach"
"35","Loomis Lake State Park, Long Beach","Significant Accretion","Accreted",2.31614683293824,"H","Long Beach South Accretion Zone"," Steady, relatively high levels of accertion present through this area"
"36","Oceanside 156th Pl, Long Beach","Non Significant Accretion","Accreted",2.31614683293824,"H","Long Beach South Accretion Zone"," Steady, relatively high levels of accertion present through this area"
"37","Oceanside 115th Ln, Long Beach","Significant Accretion","Accreted",1.16015955245227,"I","Long Beach South Mid Zone"," Small subreach of decreased accertion rates as erosion begins"
"49","Chautauqua Resort, Long Beach","Non Significant Accretion","Accreted",1.16015955245227,"I","Long Beach South Mid Zone"," Small subreach of decreased accertion rates as erosion begins"
"38","Long Beach 11th St, Long Beach","Non Significant Accretion","Accreted",0.235820516379486,"J","Long Beach South Transition Zone"," Area of fluctuation but overall erosion, potentially stabilized by the North Head Lighthouse outcropping"
"50","Seaview, Long Beach","Non Significant Erosion","Accreted",0.235820516379486,"J","Long Beach South Transition Zone"," Area of fluctuation but overall erosion, potentially stabilized by the North Head Lighthouse outcropping"
"39","Holman, Long Beach","Non Significant Accretion","Accreted",0.235820516379486,"J","Long Beach South Transition Zone"," Area of fluctuation but overall erosion, potentially stabilized by the North Head Lighthouse outcropping"
"40","Oceanview South, Long Beach","Non Significant Accretion","Accreted",0.235820516379486,"J","Long Beach South Transition Zone"," Area of fluctuation but overall erosion, potentially stabilized by the North Head Lighthouse outcropping"
"51","Beard's Hollow Cape Disappointment, Long Beach","Non Significant Accretion","Erosion",0.235820516379486,"J","Long Beach South Transition Zone"," Area of fluctuation but overall erosion, potentially stabilized by the North Head Lighthouse outcropping"
"52","A Loop Cape Disappointment, Long Beach","Non Significant Erosion","Erosion",-0.757560121650047,"M","Long Beach South Erosion Zone"," Highly unstable area of strong erosion"
"41","Cape Disappointment CANBY, Long Beach","Significant Erosion","Erosion",-0.757560121650047,"M","Long Beach South Erosion Zone"," Highly unstable area of strong erosion"
"53","Benson Beach North Cape Disappointment, Long Beach","Non Significant Erosion","Erosion",-0.757560121650047,"M","Long Beach South Erosion Zone"," Highly unstable area of strong erosion"
"54","Benson Beach South Cape Disappointment, Long Beach","Non Significant Erosion","Erosion",-0.757560121650047,"M","Long Beach South Erosion Zone"," Highly unstable area of strong erosion"
"42","Clatsop Spit","Non Significant Erosion","Oregon",1.36030818822559,"Oregon","Oregon","Oregon"
"43","Peter Iredale Rd OBA","Non Significant Erosion","Oregon",1.36030818822559,"Oregon","Oregon","Oregon"
"44","Delaura Beach Rd OBA","Non Significant Accretion","Oregon",1.36030818822559,"Oregon","Oregon","Oregon"
"45","Slusher Lake Rd OBA","Non Significant Accretion","Oregon",1.36030818822559,"Oregon","Oregon","Oregon"
"46","Del Rey Beach Rd OBA","Significant Accretion","Oregon",1.36030818822559,"Oregon","Oregon","Oregon"
"47","Seaside Beach","Non Significant Accretion","Oregon",1.36030818822559,"Oregon","Oregon","Oregon"
