"profile","Park","Region","year","quartile","rate_of_change","profile_direction"
2,"Santiago"," North Beach","14","rate_q1_dist_to_BP",1.38855651229428,"Accretion"
2,"Santiago"," North Beach","14","rate_med_dist_to_BP",1.99724988612267,"Accretion"
2,"Santiago"," North Beach","14","rate_q3_dist_to_BP",2.90702078815448,"Accretion"
2,"Santiago"," North Beach","14","rate_max_dist_to_BP",4.41364649749796,"Accretion"
2,"Santiago"," North Beach","14","mean",2.45278513630161,"Accretion"
2,"Santiago"," North Beach","15","rate_min_dist_to_BP",4.38428249227747,"Accretion"
2,"Santiago"," North Beach","15","rate_q1_dist_to_BP",3.22596965430562,"Accretion"
2,"Santiago"," North Beach","15","rate_med_dist_to_BP",1.6242430927214,"Accretion"
2,"Santiago"," North Beach","15","rate_q3_dist_to_BP",-0.735132057013421,"Erosion"
2,"Santiago"," North Beach","15","rate_max_dist_to_BP",-4.55363046664624,"Erosion"
2,"Santiago"," North Beach","15","mean",0.384282492277469,"Accretion"
2,"Santiago"," North Beach","16","rate_min_dist_to_BP",1.59530397569247,"Accretion"
2,"Santiago"," North Beach","16","rate_q1_dist_to_BP",1.76671338019125,"Accretion"
2,"Santiago"," North Beach","16","rate_med_dist_to_BP",2.00980433280769,"Accretion"
2,"Santiago"," North Beach","16","rate_q3_dist_to_BP",2.38132198739569,"Accretion"
2,"Santiago"," North Beach","16","rate_max_dist_to_BP",3.0190900587147,"Accretion"
2,"Santiago"," North Beach","16","mean",2.09530397569247,"Accretion"
2,"Santiago"," North Beach","17","rate_min_dist_to_BP",0.493492039760768,"Accretion"
2,"Santiago"," North Beach","17","rate_q1_dist_to_BP",0.194126783588744,"Accretion"
2,"Santiago"," North Beach","17","rate_med_dist_to_BP",-0.229359433168719,"Erosion"
2,"Santiago"," North Beach","17","rate_q3_dist_to_BP",-0.874178299294848,"Erosion"
2,"Santiago"," North Beach","17","rate_max_dist_to_BP",-1.97447177621118,"Erosion"
2,"Santiago"," North Beach","17","mean",-0.506507960239232,"Erosion"
2,"Santiago"," North Beach","18","rate_min_dist_to_BP",-2.97796260156277,"Erosion"
2,"Santiago"," North Beach","18","rate_q1_dist_to_BP",-1.78613020758783,"Erosion"
2,"Santiago"," North Beach","18","rate_med_dist_to_BP",-0.0879514145033067,"Erosion"
2,"Santiago"," North Beach","18","rate_q3_dist_to_BP",2.52563119324893,"Accretion"
2,"Santiago"," North Beach","18","rate_max_dist_to_BP",7.06498511492191,"Accretion"
2,"Santiago"," North Beach","18","mean",2.02203739843723,"Accretion"
2,"Santiago"," North Beach","19","rate_min_dist_to_BP",11.5902879009413,"Accretion"
2,"Santiago"," North Beach","19","rate_q1_dist_to_BP",10.156289903804,"Accretion"
2,"Santiago"," North Beach","19","rate_med_dist_to_BP",8.1717676962533,"Accretion"
2,"Santiago"," North Beach","19","rate_q3_dist_to_BP",5.24505078049626,"Accretion"
2,"Santiago"," North Beach","19","rate_max_dist_to_BP",0.499000077895606,"Accretion"
2,"Santiago"," North Beach","19","mean",6.09028790094125,"Accretion"
3,"L443"," North Beach","97","rate_min_dist_to_BP",NA,NA
3,"L443"," North Beach","97","rate_q1_dist_to_BP",NA,NA
3,"L443"," North Beach","97","rate_med_dist_to_BP",NA,NA
3,"L443"," North Beach","97","rate_q3_dist_to_BP",NA,NA
3,"L443"," North Beach","97","rate_max_dist_to_BP",NA,NA
3,"L443"," North Beach","98","rate_min_dist_to_BP",34.017793562897,"Accretion"
3,"L443"," North Beach","98","rate_q1_dist_to_BP",29.0835979856481,"Accretion"
3,"L443"," North Beach","98","rate_med_dist_to_BP",22.4991557501795,"Accretion"
3,"L443"," North Beach","98","rate_q3_dist_to_BP",13.2727688941916,"Accretion"
3,"L443"," North Beach","98","rate_max_dist_to_BP",-0.576451846431381,"Erosion"
3,"L443"," North Beach","98","mean",17.017793562897,"Accretion"
3,"L443"," North Beach","99","rate_min_dist_to_BP",-1.10414681577405,"Erosion"
3,"L443"," North Beach","99","rate_q1_dist_to_BP",-0.899490861872909,"Erosion"
3,"L443"," North Beach","99","rate_med_dist_to_BP",-0.583695432925724,"Erosion"
3,"L443"," North Beach","99","rate_q3_dist_to_BP",-0.0380183980518312,"Erosion"
3,"L443"," North Beach","99","rate_max_dist_to_BP",1.10269097518305,"Accretion"
3,"L443"," North Beach","99","mean",-0.104146815774054,"Erosion"
3,"L443"," North Beach","10","rate_min_dist_to_BP",-3.70205414520995,"Erosion"
3,"L443"," North Beach","10","rate_q1_dist_to_BP",-2.28200481648765,"Erosion"
3,"L443"," North Beach","10","rate_med_dist_to_BP",-0.238825159107758,"Erosion"
3,"L443"," North Beach","10","rate_q3_dist_to_BP",2.94915924981809,"Accretion"
3,"L443"," North Beach","10","rate_max_dist_to_BP",8.59912104144116,"Accretion"
3,"L443"," North Beach","10","mean",2.29794585479005,"Accretion"
3,"L443"," North Beach","11","rate_min_dist_to_BP",22.8671630343521,"Accretion"
3,"L443"," North Beach","11","rate_q1_dist_to_BP",20.4012595015683,"Accretion"
3,"L443"," North Beach","11","rate_med_dist_to_BP",16.9465902980751,"Accretion"
3,"L443"," North Beach","11","rate_q3_dist_to_BP",11.7595380841752,"Accretion"
3,"L443"," North Beach","11","rate_max_dist_to_BP",3.10195696224695,"Accretion"
3,"L443"," North Beach","11","mean",13.3671630343521,"Accretion"
3,"L443"," North Beach","12","rate_min_dist_to_BP",-13.379901892744,"Erosion"
3,"L443"," North Beach","12","rate_q1_dist_to_BP",-11.9828490454453,"Erosion"
3,"L443"," North Beach","12","rate_med_dist_to_BP",-9.92653090428201,"Erosion"
3,"L443"," North Beach","12","rate_q3_dist_to_BP",-6.60032475903057,"Erosion"
3,"L443"," North Beach","12","rate_max_dist_to_BP",-0.303202788564094,"Erosion"
3,"L443"," North Beach","12","mean",-6.87990189274397,"Erosion"
3,"L443"," North Beach","13","rate_min_dist_to_BP",3.27198514459583,"Accretion"
3,"L443"," North Beach","13","rate_q1_dist_to_BP",3.86584609978387,"Accretion"
3,"L443"," North Beach","13","rate_med_dist_to_BP",4.7063205646235,"Accretion"
3,"L443"," North Beach","13","rate_q3_dist_to_BP",5.98723413083799,"Accretion"
3,"L443"," North Beach","13","rate_max_dist_to_BP",8.17751344422899,"Accretion"
3,"L443"," North Beach","13","mean",5.27198514459583,"Accretion"
3,"L443"," North Beach","14","rate_min_dist_to_BP",-1.51311129055085,"Erosion"
3,"L443"," North Beach","14","rate_q1_dist_to_BP",-1.47621412512007,"Erosion"
3,"L443"," North Beach","14","rate_med_dist_to_BP",-1.42468651557831,"Erosion"
3,"L443"," North Beach","14","rate_q3_dist_to_BP",-1.34767715027625,"Erosion"
3,"L443"," North Beach","14","rate_max_dist_to_BP",-1.22008476672751,"Erosion"
3,"L443"," North Beach","14","mean",-1.51311129055085,"Erosion"
3,"L443"," North Beach","15","rate_min_dist_to_BP",8.498111242074,"Accretion"
3,"L443"," North Beach","15","rate_q1_dist_to_BP",7.11085567567655,"Accretion"
3,"L443"," North Beach","15","rate_med_dist_to_BP",5.17588901494535,"Accretion"
3,"L443"," North Beach","15","rate_q3_dist_to_BP",2.28915501927396,"Accretion"
3,"L443"," North Beach","15","rate_max_dist_to_BP",-2.48020649606534,"Erosion"
3,"L443"," North Beach","15","mean",3.498111242074,"Accretion"
3,"L443"," North Beach","16","rate_min_dist_to_BP",4.44986881907736,"Accretion"
3,"L443"," North Beach","16","rate_q1_dist_to_BP",4.37391302747125,"Accretion"
3,"L443"," North Beach","16","rate_med_dist_to_BP",4.26463321992043,"Accretion"
3,"L443"," North Beach","16","rate_q3_dist_to_BP",4.09394242027155,"Accretion"
3,"L443"," North Beach","16","rate_max_dist_to_BP",3.78987508097639,"Accretion"
3,"L443"," North Beach","16","mean",4.44986881907736,"Accretion"
3,"L443"," North Beach","17","rate_min_dist_to_BP",-12.3114075811282,"Erosion"
3,"L443"," North Beach","17","rate_q1_dist_to_BP",-10.9126338138503,"Erosion"
3,"L443"," North Beach","17","rate_med_dist_to_BP",-8.89636574272238,"Erosion"
3,"L443"," North Beach","17","rate_q3_dist_to_BP",-5.7380070298816,"Erosion"
3,"L443"," North Beach","17","rate_max_dist_to_BP",-0.0842871530867484,"Erosion"
3,"L443"," North Beach","17","mean",-6.31140758112824,"Erosion"
3,"L443"," North Beach","18","rate_min_dist_to_BP",8.40385083149648,"Accretion"
3,"L443"," North Beach","18","rate_q1_dist_to_BP",7.2711392532494,"Accretion"
3,"L443"," North Beach","18","rate_med_dist_to_BP",5.69960408733956,"Accretion"
3,"L443"," North Beach","18","rate_q3_dist_to_BP",3.37305900049325,"Accretion"
3,"L443"," North Beach","18","rate_max_dist_to_BP",-0.424266266777706,"Erosion"
3,"L443"," North Beach","18","mean",4.40385083149648,"Accretion"
3,"L443"," North Beach","19","rate_min_dist_to_BP",5.74371605207269,"Accretion"
3,"L443"," North Beach","19","rate_q1_dist_to_BP",5.0832722058535,"Accretion"
3,"L443"," North Beach","19","rate_med_dist_to_BP",4.14355048125248,"Accretion"
3,"L443"," North Beach","19","rate_q3_dist_to_BP",2.69996460192161,"Accretion"
3,"L443"," North Beach","19","rate_max_dist_to_BP",0.199089495752003,"Accretion"
3,"L443"," North Beach","19","mean",3.24371605207269,"Accretion"
4,"B1"," North Beach","97","rate_min_dist_to_BP",NA,NA
4,"B1"," North Beach","97","rate_q1_dist_to_BP",NA,NA
4,"B1"," North Beach","97","rate_med_dist_to_BP",NA,NA
4,"B1"," North Beach","97","rate_q3_dist_to_BP",NA,NA
4,"B1"," North Beach","97","rate_max_dist_to_BP",NA,NA
4,"B1"," North Beach","98","rate_min_dist_to_BP",29.0558587763377,"Accretion"
4,"B1"," North Beach","98","rate_q1_dist_to_BP",25.1594782796373,"Accretion"
4,"B1"," North Beach","98","rate_med_dist_to_BP",19.8908064167242,"Accretion"
4,"B1"," North Beach","98","rate_q3_dist_to_BP",12.3877965009242,"Accretion"
4,"B1"," North Beach","98","rate_max_dist_to_BP",0.926008650056453,"Accretion"
4,"B1"," North Beach","98","mean",15.0558587763377,"Accretion"
4,"B1"," North Beach","99","rate_min_dist_to_BP",0.0892953557324327,"Accretion"
4,"B1"," North Beach","99","rate_q1_dist_to_BP",-0.0644779356530734,"Erosion"
4,"B1"," North Beach","99","rate_med_dist_to_BP",-0.318932209240919,"Erosion"
4,"B1"," North Beach","99","rate_q3_dist_to_BP",-0.799443757008278,"Erosion"
4,"B1"," North Beach","99","rate_max_dist_to_BP",-1.92786788826954,"Erosion"
4,"B1"," North Beach","99","mean",-0.910704644267567,"Erosion"
4,"B1"," North Beach","10","rate_min_dist_to_BP",-4.63769221593999,"Erosion"
4,"B1"," North Beach","10","rate_q1_dist_to_BP",-3.0376841148202,"Erosion"
4,"B1"," North Beach","10","rate_med_dist_to_BP",-0.690076888167279,"Erosion"
4,"B1"," North Beach","10","rate_q3_dist_to_BP",3.08561861058905,"Accretion"
4,"B1"," North Beach","10","rate_max_dist_to_BP",10.1435693869431,"Accretion"
4,"B1"," North Beach","10","mean",2.36230778406001,"Accretion"
4,"B1"," North Beach","11","rate_min_dist_to_BP",9.42005528481649,"Accretion"
4,"B1"," North Beach","11","rate_q1_dist_to_BP",8.02202788211133,"Accretion"
4,"B1"," North Beach","11","rate_med_dist_to_BP",6.0426474641702,"Accretion"
4,"B1"," North Beach","11","rate_q3_dist_to_BP",3.02456879158939,"Accretion"
4,"B1"," North Beach","11","rate_max_dist_to_BP",-2.13843683403337,"Erosion"
4,"B1"," North Beach","11","mean",3.92005528481649,"Accretion"
4,"B1"," North Beach","12","rate_min_dist_to_BP",-0.297721879257573,"Erosion"
4,"B1"," North Beach","12","rate_q1_dist_to_BP",-0.158066373667043,"Erosion"
4,"B1"," North Beach","12","rate_med_dist_to_BP",0.0459965917887217,"Accretion"
4,"B1"," North Beach","12","rate_q3_dist_to_BP",0.372322269501502,"Accretion"
4,"B1"," North Beach","12","rate_max_dist_to_BP",0.977487014469913,"Accretion"
4,"B1"," North Beach","12","mean",0.202278120742427,"Accretion"
4,"B1"," North Beach","13","rate_min_dist_to_BP",0.369438086095109,"Accretion"
4,"B1"," North Beach","13","rate_q1_dist_to_BP",0.82030224937597,"Accretion"
4,"B1"," North Beach","13","rate_med_dist_to_BP",1.47655955524146,"Accretion"
4,"B1"," North Beach","13","rate_q3_dist_to_BP",2.51979661385564,"Accretion"
4,"B1"," North Beach","13","rate_max_dist_to_BP",4.43455448446248,"Accretion"
4,"B1"," North Beach","13","mean",2.36943808609511,"Accretion"
4,"B1"," North Beach","14","rate_min_dist_to_BP",-3.3419638884384,"Erosion"
4,"B1"," North Beach","14","rate_q1_dist_to_BP",-2.51844849836809,"Erosion"
4,"B1"," North Beach","14","rate_med_dist_to_BP",-1.33260462810818,"Erosion"
4,"B1"," North Beach","14","rate_q3_dist_to_BP",0.521876083646711,"Accretion"
4,"B1"," North Beach","14","rate_max_dist_to_BP",3.83129506274127,"Accretion"
4,"B1"," North Beach","14","mean",0.158036111561596,"Accretion"
4,"B1"," North Beach","15","rate_min_dist_to_BP",5.29349365315697,"Accretion"
4,"B1"," North Beach","15","rate_q1_dist_to_BP",3.93157591867608,"Accretion"
4,"B1"," North Beach","15","rate_med_dist_to_BP",2.01056629199459,"Accretion"
4,"B1"," North Beach","15","rate_q3_dist_to_BP",-0.90229566916743,"Erosion"
4,"B1"," North Beach","15","rate_max_dist_to_BP",-5.84049183644604,"Erosion"
4,"B1"," North Beach","15","mean",-0.206506346843033,"Erosion"
4,"B1"," North Beach","16","rate_min_dist_to_BP",2.55756879642135,"Accretion"
4,"B1"," North Beach","16","rate_q1_dist_to_BP",2.54941283068131,"Accretion"
4,"B1"," North Beach","16","rate_med_dist_to_BP",2.53734346347509,"Accretion"
4,"B1"," North Beach","16","rate_q3_dist_to_BP",2.51767337767286,"Accretion"
4,"B1"," North Beach","16","rate_max_dist_to_BP",2.48002121555209,"Accretion"
4,"B1"," North Beach","16","mean",2.55756879642135,"Accretion"
4,"B1"," North Beach","17","rate_min_dist_to_BP",-3.54410123844678,"Erosion"
4,"B1"," North Beach","17","rate_q1_dist_to_BP",-3.15434075523552,"Erosion"
4,"B1"," North Beach","17","rate_med_dist_to_BP",-2.58682796246754,"Erosion"
4,"B1"," North Beach","17","rate_q3_dist_to_BP",-1.6841775798064,"Erosion"
4,"B1"," North Beach","17","rate_max_dist_to_BP",-0.0258303328865783,"Erosion"
4,"B1"," North Beach","17","mean",-2.04410123844678,"Erosion"
4,"B1"," North Beach","18","rate_min_dist_to_BP",-1.38615342541079,"Erosion"
4,"B1"," North Beach","18","rate_q1_dist_to_BP",-1.4560665648394,"Erosion"
4,"B1"," North Beach","18","rate_med_dist_to_BP",-1.55681957266348,"Erosion"
4,"B1"," North Beach","18","rate_q3_dist_to_BP",-1.71457080067068,"Erosion"
4,"B1"," North Beach","18","rate_max_dist_to_BP",-1.99665497425205,"Erosion"
4,"B1"," North Beach","18","mean",-1.38615342541079,"Erosion"
4,"B1"," North Beach","19","rate_min_dist_to_BP",3.57045546209676,"Accretion"
4,"B1"," North Beach","19","rate_q1_dist_to_BP",3.43856461504488,"Accretion"
4,"B1"," North Beach","19","rate_med_dist_to_BP",3.24803136429317,"Accretion"
4,"B1"," North Beach","19","rate_q3_dist_to_BP",2.94860645684512,"Accretion"
4,"B1"," North Beach","19","rate_max_dist_to_BP",2.40981119869177,"Accretion"
4,"B1"," North Beach","19","mean",3.07045546209676,"Accretion"
5,"A1.5"," North Beach","97","rate_min_dist_to_BP",NA,NA
5,"A1.5"," North Beach","97","rate_q1_dist_to_BP",NA,NA
5,"A1.5"," North Beach","97","rate_med_dist_to_BP",NA,NA
5,"A1.5"," North Beach","97","rate_q3_dist_to_BP",NA,NA
5,"A1.5"," North Beach","97","rate_max_dist_to_BP",NA,NA
5,"A1.5"," North Beach","98","rate_min_dist_to_BP",18.8250352490389,"Accretion"
5,"A1.5"," North Beach","98","rate_q1_dist_to_BP",16.0226785256157,"Accretion"
5,"A1.5"," North Beach","98","rate_med_dist_to_BP",12.3202032816447,"Accretion"
5,"A1.5"," North Beach","98","rate_q3_dist_to_BP",7.20915076102651,"Accretion"
5,"A1.5"," North Beach","98","rate_max_dist_to_BP",-0.273277702375307,"Erosion"
5,"A1.5"," North Beach","98","mean",9.32503524903889,"Accretion"
5,"A1.5"," North Beach","99","rate_min_dist_to_BP",16.1788727094494,"Accretion"
5,"A1.5"," North Beach","99","rate_q1_dist_to_BP",14.0415711006673,"Accretion"
5,"A1.5"," North Beach","99","rate_med_dist_to_BP",11.026331784956,"Accretion"
5,"A1.5"," North Beach","99","rate_q3_dist_to_BP",6.4648807011896,"Accretion"
5,"A1.5"," North Beach","99","rate_max_dist_to_BP",-1.18423131135185,"Erosion"
5,"A1.5"," North Beach","99","mean",7.67887270944942,"Accretion"
5,"A1.5"," North Beach","10","rate_min_dist_to_BP",-7.22633621056666,"Erosion"
5,"A1.5"," North Beach","10","rate_q1_dist_to_BP",-6.4189101487149,"Erosion"
5,"A1.5"," North Beach","10","rate_med_dist_to_BP",-5.25206084817481,"Erosion"
5,"A1.5"," North Beach","10","rate_q3_dist_to_BP",-3.42212318665974,"Erosion"
5,"A1.5"," North Beach","10","rate_max_dist_to_BP",-0.168495553989123,"Erosion"
5,"A1.5"," North Beach","10","mean",-3.72633621056666,"Erosion"
5,"A1.5"," North Beach","11","rate_min_dist_to_BP",8.95973649051012,"Accretion"
5,"A1.5"," North Beach","11","rate_q1_dist_to_BP",7.76512303058128,"Accretion"
5,"A1.5"," North Beach","11","rate_med_dist_to_BP",6.04039628037969,"Accretion"
5,"A1.5"," North Beach","11","rate_q3_dist_to_BP",3.33256460650053,"Accretion"
5,"A1.5"," North Beach","11","rate_max_dist_to_BP",-1.53140166720019,"Erosion"
5,"A1.5"," North Beach","11","mean",3.95973649051012,"Accretion"
5,"A1.5"," North Beach","12","rate_min_dist_to_BP",-0.879082456139768,"Erosion"
5,"A1.5"," North Beach","12","rate_q1_dist_to_BP",-0.759207892608216,"Erosion"
5,"A1.5"," North Beach","12","rate_med_dist_to_BP",-0.581259995477634,"Erosion"
5,"A1.5"," North Beach","12","rate_q3_dist_to_BP",-0.289606719389224,"Erosion"
5,"A1.5"," North Beach","12","rate_max_dist_to_BP",0.275544826217722,"Accretion"
5,"A1.5"," North Beach","12","mean",-0.379082456139768,"Erosion"
5,"A1.5"," North Beach","13","rate_min_dist_to_BP",-0.055018961848019,"Erosion"
5,"A1.5"," North Beach","13","rate_q1_dist_to_BP",-0.0712917974193039,"Erosion"
5,"A1.5"," North Beach","13","rate_med_dist_to_BP",-0.0954304468077094,"Erosion"
5,"A1.5"," North Beach","13","rate_q3_dist_to_BP",-0.134946921679424,"Erosion"
5,"A1.5"," North Beach","13","rate_max_dist_to_BP",-0.211351489892919,"Erosion"
5,"A1.5"," North Beach","13","mean",-0.055018961848019,"Erosion"
5,"A1.5"," North Beach","14","rate_min_dist_to_BP",-2.08838040574549,"Erosion"
5,"A1.5"," North Beach","14","rate_q1_dist_to_BP",-1.64240110287545,"Erosion"
5,"A1.5"," North Beach","14","rate_med_dist_to_BP",-0.982442848195186,"Erosion"
5,"A1.5"," North Beach","14","rate_q3_dist_to_BP",0.0938887142841516,"Accretion"
5,"A1.5"," North Beach","14","rate_max_dist_to_BP",2.16097457379614,"Accretion"
5,"A1.5"," North Beach","14","mean",-0.0883804057454936,"Erosion"
5,"A1.5"," North Beach","15","rate_min_dist_to_BP",3.99040035532823,"Accretion"
5,"A1.5"," North Beach","15","rate_q1_dist_to_BP",3.54696154567955,"Accretion"
5,"A1.5"," North Beach","15","rate_med_dist_to_BP",2.89817179138832,"Accretion"
5,"A1.5"," North Beach","15","rate_q3_dist_to_BP",1.85861193145882,"Accretion"
5,"A1.5"," North Beach","15","rate_max_dist_to_BP",-0.0757385325927062,"Erosion"
5,"A1.5"," North Beach","15","mean",1.99040035532823,"Accretion"
5,"A1.5"," North Beach","16","rate_min_dist_to_BP",5.38589718415869,"Accretion"
5,"A1.5"," North Beach","16","rate_q1_dist_to_BP",4.79727344917265,"Accretion"
5,"A1.5"," North Beach","16","rate_med_dist_to_BP",3.92664586990092,"Accretion"
5,"A1.5"," North Beach","16","rate_q3_dist_to_BP",2.50779700839838,"Accretion"
5,"A1.5"," North Beach","16","rate_max_dist_to_BP",-0.21330238621009,"Erosion"
5,"A1.5"," North Beach","16","mean",2.88589718415869,"Accretion"
5,"A1.5"," North Beach","17","rate_min_dist_to_BP",-14.7192682907039,"Erosion"
5,"A1.5"," North Beach","17","rate_q1_dist_to_BP",-13.3623988772185,"Erosion"
5,"A1.5"," North Beach","17","rate_med_dist_to_BP",-11.3276799089481,"Erosion"
5,"A1.5"," North Beach","17","rate_q3_dist_to_BP",-7.93867900976871,"Erosion"
5,"A1.5"," North Beach","17","rate_max_dist_to_BP",-1.17290723806082,"Erosion"
5,"A1.5"," North Beach","17","mean",-8.21926829070386,"Erosion"
5,"A1.5"," North Beach","18","rate_min_dist_to_BP",8.93905013846981,"Accretion"
5,"A1.5"," North Beach","18","rate_q1_dist_to_BP",7.79505339784887,"Accretion"
5,"A1.5"," North Beach","18","rate_med_dist_to_BP",6.14524700597352,"Accretion"
5,"A1.5"," North Beach","18","rate_q3_dist_to_BP",3.5594385031027,"Accretion"
5,"A1.5"," North Beach","18","rate_max_dist_to_BP",-1.07183482858741,"Erosion"
5,"A1.5"," North Beach","18","mean",3.93905013846981,"Accretion"
5,"A1.5"," North Beach","19","rate_min_dist_to_BP",3.11634208678839,"Accretion"
5,"A1.5"," North Beach","19","rate_q1_dist_to_BP",2.75061942704624,"Accretion"
5,"A1.5"," North Beach","19","rate_med_dist_to_BP",2.20921169328121,"Accretion"
5,"A1.5"," North Beach","19","rate_q3_dist_to_BP",1.32567723090744,"Accretion"
5,"A1.5"," North Beach","19","rate_max_dist_to_BP",-0.373025868831767,"Erosion"
5,"A1.5"," North Beach","19","mean",1.61634208678839,"Accretion"
6,"Moclips"," North Beach","97","rate_min_dist_to_BP",NA,NA
6,"Moclips"," North Beach","97","rate_q1_dist_to_BP",NA,NA
6,"Moclips"," North Beach","97","rate_med_dist_to_BP",NA,NA
6,"Moclips"," North Beach","97","rate_q3_dist_to_BP",NA,NA
6,"Moclips"," North Beach","97","rate_max_dist_to_BP",NA,NA
6,"Moclips"," North Beach","98","rate_min_dist_to_BP",23.1543998350878,"Accretion"
6,"Moclips"," North Beach","98","rate_q1_dist_to_BP",19.5674162039994,"Accretion"
6,"Moclips"," North Beach","98","rate_med_dist_to_BP",14.8681655306271,"Accretion"
